Year,Month,Product,URL,,,,,,,,,,,,,
2018,8,SP16,https://download.microsoft.com/download/5/E/A/5EADC4E3-A66B-4C2F-96E5-CA744ABE945E/wssloc2016-kb4022231-fullfile-x64-glb.exe,,,,,,,,,,,,,
2018,7,SP16,https://download.microsoft.com/download/2/6/5/2655418E-09E8-434D-8D07-5BA36D6FABF5/sts2016-kb4022228-fullfile-x64-glb.exe,,,,,,,,,,,,,
2018,7,SP16,https://download.microsoft.com/download/9/8/2/982D4441-2963-4668-800D-250AD598D48E/wssloc2016-kb4022178-fullfile-x64-glb.exe,,,,,,,,,,,,,
2018,6,SP16,https://download.microsoft.com/download/B/2/7/B27FA473-F0E4-4514-9522-F9E19D84C7B9/sts2016-kb4022173-fullfile-x64-glb.exe,,,,,,,,,,,,,
2018,6,SP16,https://download.microsoft.com/download/9/8/2/982D4441-2963-4668-800D-250AD598D48E/wssloc2016-kb4022178-fullfile-x64-glb.exe,,,,,,,,,,,,,
2018,5,SP16,https://download.microsoft.com/download/7/7/0/77007B0A-D0F4-4215-A8CC-BE9C3A79DF3A/sts2016-kb4018381-fullfile-x64-glb.exe,,,,,,,,,,,,,
2018,5,SP16,https://download.microsoft.com/download/1/2/C/12CFD45C-2217-41B1-9B55-9CED742A4A42/wssloc2016-kb4018386-fullfile-x64-glb.exe,,,,,,,,,,,,,
2018,4,SP16,https://download.microsoft.com/download/9/F/6/9F60F822-3A02-4F55-88D7-0B7850226452/sts2016-kb4018336-fullfile-x64-glb.exe,,,,,,,,,,,,,
2018,4,SP16,https://download.microsoft.com/download/0/2/0/02023021-4AE6-4B45-A3D7-45135C5ED71F/wssloc2016-kb4018340-fullfile-x64-glb.exe,,,,,,,,,,,,,
2018,3,SP16,https://download.microsoft.com/download/6/4/3/643C13E2-7D2E-450F-B611-AC0EC45C872E/sts2016-kb4018293-fullfile-x64-glb.exe,,,,,,,,,,,,,
2018,3,SP16,https://download.microsoft.com/download/A/4/7/A47A4446-D028-436C-9764-700C655F7D69/wssloc2016-kb4011687-fullfile-x64-glb.exe,,,,,,,,,,,,,
2018,2,SP16,https://download.microsoft.com/download/2/2/4/224F4887-5A9C-449B-A1CD-2F27297E3F5E/wssloc2016-kb4011645-fullfile-x64-glb.exe,,,,,,,,,,,,,
2018,2,SP16,https://download.microsoft.com/download/C/5/0/C5031891-92C2-48DF-8A95-FF6CEF6F66E5/sts2016-kb4011680-fullfile-x64-glb.exe,,,,,,,,,,,,,
2018,1,SP16,https://download.microsoft.com/download/2/2/4/224F4887-5A9C-449B-A1CD-2F27297E3F5E/wssloc2016-kb4011645-fullfile-x64-glb.exe,,,,,,,,,,,,,
2018,1,SP16,https://download.microsoft.com/download/A/8/6/A8676455-B2DC-4E01-B853-2D12F754747F/sts2016-kb4011642-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,12,SP16,https://download.microsoft.com/download/7/4/A/74A1E48F-0B66-4383-AD6E-0BC6DBD38DD5/wssloc2016-kb4011578-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,12,SP16,https://download.microsoft.com/download/6/3/E/63E94C0D-9D70-4213-B1D8-1F2FF70477B6/sts2016-kb4011576-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,11,SP16,https://download.microsoft.com/download/E/9/F/E9F76AFA-FE76-4D39-BA64-1C7AEB097726/wssloc2016-kb4011243-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,11,SP16,https://download.microsoft.com/download/1/7/F/17FC4E96-01D9-4995-9816-8B600F7BAA77/sts2016-kb4011244-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,10,SP16,https://download.microsoft.com/download/5/5/0/5508D01B-44A3-46A4-A912-BD3AEB05788B/wssloc2016-kb4011161-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,10,SP16,https://download.microsoft.com/download/9/B/C/9BCF874C-F756-4260-96BB-15351886B926/sts2016-kb4011217-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,9,SP16,https://download.microsoft.com/download/8/7/D/87D35F42-B3FB-4A54-A708-8A825010D809/wssloc2016-kb4011112-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,9,SP16,https://download.microsoft.com/download/1/D/4/1D47CBEE-9B6E-467D-9090-E99CC3B5954F/sts2016-kb4011127-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,8,SP16,https://download.microsoft.com/download/2/C/0/2C0D85B0-158F-459B-8807-AB77D8BE0923/wssloc2016-kb4011053-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,8,SP16,https://download.microsoft.com/download/5/A/D/5AD38E0C-641A-44BA-AFFC-8E65D69A2C93/sts2016-kb4011049-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,7,SP16,https://download.microsoft.com/download/2/A/E/2AED8CD5-193F-4526-BD30-D43EF77A729B/wssloc2016-kb3213543-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,7,SP16,https://download.microsoft.com/download/0/A/1/0A142E69-2B5D-4E49-90D3-8A6E7CD2F2B5/sts2016-kb3213544-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,6,SP16,https://download.microsoft.com/download/2/5/9/259A2087-FF9C-434C-8622-DE17DDDC632D/wssloc2016-kb3203433-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,6,SP16,https://download.microsoft.com/download/E/E/4/EE4C0711-C9C5-48FF-8DCF-9FCC151A1125/sts2016-kb3203432-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,5,SP16,https://download.microsoft.com/download/0/6/A/06AE142B-F60D-4B06-8242-03D1C2A2A885/wssloc2016-kb3191884-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,5,SP16,https://download.microsoft.com/download/B/D/3/BD3DAAF6-72E5-4D60-858A-F5F84D5830A9/sts2016-kb3191880-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,4,SP16,https://download.microsoft.com/download/B/D/8/BD8DA0BE-015C-445D-AC40-1F4494EF1703/wssloc2016-kb3178721-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,4,SP16,https://download.microsoft.com/download/A/5/E/A5E25221-6919-490A-B2C4-45D2DCAF349C/sts2016-kb3178718-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,3,SP16,https://download.microsoft.com/download/A/F/8/AF817268-9A98-41E1-8905-BF612C95779A/wssloc2016-kb3178675-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,3,SP16,https://download.microsoft.com/download/A/8/7/A87F28F5-8677-4760-8801-B82F38083DD3/sts2016-kb3178672-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,2,SP16,https://download.microsoft.com/download/9/5/6/956E60C5-BF96-47BC-8AE5-2BDF180EF974/wssloc2016-kb3141517-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,2,SP16,https://download.microsoft.com/download/E/3/4/E3469747-F4D1-4B6A-B2B6-D4756A0EC910/sts2016-kb3141515-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,1,SP16,https://download.microsoft.com/download/3/9/E/39E2AB18-BE25-4351-A916-A35780C0B3CA/wssloc2016-kb3141487-fullfile-x64-glb.exe,,,,,,,,,,,,,
2017,1,SP16,https://download.microsoft.com/download/8/2/D/82D09070-1AF0-4484-B5F5-CA3F2C44EA56/sts2016-kb3141486-fullfile-x64-glb.exe,,,,,,,,,,,,,
2016,12,SP16,https://download.microsoft.com/download/6/5/B/65B840E6-A1C3-4C15-8E1A-988D491EB9AA/wssloc2016-kb3128017-fullfile-x64-glb.exe,,,,,,,,,,,,,
2016,12,SP16,https://download.microsoft.com/download/D/0/4/D04FD356-E140-433E-94F6-472CF45FD591/sts2016-kb3128014-fullfile-x64-glb.exe,,,,,,,,,,,,,
2016,11,SP16,https://download.microsoft.com/download/4/F/6/4F675DC1-3F45-4C3B-8261-84F3CFE9BDF4/wssloc2016-kb3127942-fullfile-x64-glb.exe,,,,,,,,,,,,,
2016,11,SP16,https://download.microsoft.com/download/9/0/F/90F0F093-8B7B-44F8-986D-5E9971CBED8B/sts2016-kb3127940-fullfile-x64-glb.exe,,,,,,,,,,,,,
2016,10,SP16,https://download.microsoft.com/download/2/6/1/2615E33D-2266-449B-B0EB-E6265343D099/wssloc2016-kb3118376-fullfile-x64-glb.exe,,,,,,,,,,,,,
2016,10,SP16,https://download.microsoft.com/download/A/4/6/A464472A-68B0-41FB-A2EA-17F0F215142A/sts2016-kb3118372-fullfile-x64-glb.exe,,,,,,,,,,,,,
2016,9,SP16,https://download.microsoft.com/download/2/2/C/22CB2861-5D06-403C-A20C-5F490DC8919B/wssloc2016-kb3118295-fullfile-x64-glb.exe,,,,,,,,,,,,,
2016,9,SP16,https://download.microsoft.com/download/E/C/7/EC7986A3-4292-4B77-820C-473639468DC0/sts2016-kb3118289-fullfile-x64-glb.exe,,,,,,,,,,,,,
2016,8,SP16,https://download.microsoft.com/download/C/3/D/C3DB63B9-5A95-48F1-BDC4-6C57DAF93901/wssloc2016-kb3115441-fullfile-x64-glb.exe,,,,,,,,,,,,,
2016,8,SP16,https://download.microsoft.com/download/8/3/B/83BC75DB-CF74-45CF-B9BD-72888A0ED3F1/sts2016-kb3115437-fullfile-x64-glb.exe,,,,,,,,,,,,,
2016,7,SP16,https://download.microsoft.com/download/6/B/F/6BF1076F-607F-422C-8048-0A6EA6D8E0D9/wssloc2016-kb3115304-fullfile-x64-glb.exe,,,,,,,,,,,,,
2016,7,SP16,https://download.microsoft.com/download/2/6/A/26A556BB-81B8-4946-98E7-60E3AEDEB841/sts2016-kb3115299-fullfile-x64-glb.exe,,,,,,,,,,,,,
2016,6,SP16,https://download.microsoft.com/download/9/8/B/98B7A6ED-63C2-461C-A61B-9960B665D428/wssloc2016-kb3115184-fullfile-x64-glb.exe,,,,,,,,,,,,,
2016,6,SP16,https://download.microsoft.com/download/0/5/1/0513ABEE-BBD8-4D2F-985B-6E9A89D1C544/sts2016-kb3115181-fullfile-x64-glb.exe,,,,,,,,,,,,,
2016,5,SP16,https://download.microsoft.com/download/7/D/A/7DA2A7E4-1903-45DA-A1AF-1DF8E79CBABB/wssloc2016-kb2920690-fullfile-x64-glb.exe,,,,,,,,,,,,,
2016,5,SP16,https://download.microsoft.com/download/1/D/2/1D2C38A0-4AE7-47B3-9365-F603CBF1F154/sts2016-kb3115088-fullfile-x64-glb.exe,,,,,,,,,,,,,
2016,4,SP16,https://download.microsoft.com/download/8/D/5/8D589BA9-3EA3-4AF8-A5D6-7BC4DE028531/sts2016-kb2920721-fullfile-x64-glb.exe,,,,,,,,,,,,,
2019,9,SP15,https://download.microsoft.com/download/2/f/b/2fb0b12a-643b-43c9-b190-4fda776aa585/ubersrv2013-kb4484095-fullfile-x64-glb.exe,,,,,,,,,,,,,
2019,9,SP15,https://download.microsoft.com/download/2/f/b/2fb0b12a-643b-43c9-b190-4fda776aa585/ubersrv_1.cab,,,,,,,,,,,,,
2019,9,SP15,https://download.microsoft.com/download/2/f/b/2fb0b12a-643b-43c9-b190-4fda776aa585/ubersrv_2.cab,,,,,,,,,,,,,
2019,8,SP15,https://download.microsoft.com/download/D/9/1/D913A2DC-BD7D-4968-AB8F-3948FB7513D1/ubersrv2013-kb4475561-fullfile-x64-glb.exe,,,,,,,,,,,,,
2019,8,SP15,https://download.microsoft.com/download/D/9/1/D913A2DC-BD7D-4968-AB8F-3948FB7513D1/ubersrv_1.cab,,,,,,,,,,,,,
2019,8,SP15,https://download.microsoft.com/download/D/9/1/D913A2DC-BD7D-4968-AB8F-3948FB7513D1/ubersrv_2.cab,,,,,,,,,,,,,
2019,7,SP15,https://download.microsoft.com/download/4/2/5/425EF8AB-36A3-4B3A-AEB6-933E01A66414/ubersrv2013-kb4475526-fullfile-x64-glb.exe,,,,,,,,,,,,,
2019,7,SP15,https://download.microsoft.com/download/4/2/5/425EF8AB-36A3-4B3A-AEB6-933E01A66414/ubersrv_1.cab,,,,,,,,,,,,,
2019,7,SP15,https://download.microsoft.com/download/4/2/5/425EF8AB-36A3-4B3A-AEB6-933E01A66414/ubersrv_2.cab,,,,,,,,,,,,,
2019,6,SP15,https://download.microsoft.com/download/3/5/B/35BAE580-53F0-4CE1-97AD-282F4117C5EF/ubersrv2013-kb4464601-fullfile-x64-glb.exe,,,,,,,,,,,,,
2019,6,SP15,https://download.microsoft.com/download/3/5/B/35BAE580-53F0-4CE1-97AD-282F4117C5EF/ubersrv_1.cab,,,,,,,,,,,,,
2019,6,SP15,https://download.microsoft.com/download/3/5/B/35BAE580-53F0-4CE1-97AD-282F4117C5EF/ubersrv_2.cab,,,,,,,,,,,,,
2019,5,SP15,https://download.microsoft.com/download/D/B/B/DBBA7608-93B8-4C51-86E7-5D21B92A8A5B/ubersrv2013-kb4464563-fullfile-x64-glb.exe,,,,,,,,,,,,,
2019,5,SP15,https://download.microsoft.com/download/D/B/B/DBBA7608-93B8-4C51-86E7-5D21B92A8A5B/ubersrv_1.cab,,,,,,,,,,,,,
2019,5,SP15,https://download.microsoft.com/download/D/B/B/DBBA7608-93B8-4C51-86E7-5D21B92A8A5B/ubersrv_2.cab,,,,,,,,,,,,,
2019,4,SP15,https://download.microsoft.com/download/0/2/3/02361BD1-F617-4F54-9B4E-9645285F7D9F/ubersrv2013-kb4464514-fullfile-x64-glb.exe,,,,,,,,,,,,,
2019,4,SP15,https://download.microsoft.com/download/0/2/3/02361BD1-F617-4F54-9B4E-9645285F7D9F/ubersrv_1.cab,,,,,,,,,,,,,
